id,P2,P3,P4,P5,P6,P7,P8,P9,P10,F1,F2,F3,F4,F5,F6,F7,S1,A1,A2,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11
132,Urban,Male,21,Bengali,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,12th pass,someone else,sometimes,notes,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",< 5%,keep in bank account,,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Jewellery,< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,less than today
133,Urban,Female,22,English,Graduate,"> 60,000",With friends. colleagues or students,Graduate,Postgraduate,me with someone else,sometimes,spreadsheet or other tools,Putting money in a savings/deposits account,no income,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
134,Urban,Female,21,Bengali,12th pass,"< 20,000",With other adult relatives,Graduate,Graduate,someone else,sometimes,no record,"Saving cash at home, Putting money in a savings/deposits account",5% - 10%,unable to save,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works, Child support",2 lakh,100 plus 3pct,not sure,save it,expensive model,keep it,Multiple businesses/investment,No interest,less than 110,same as today
135,Urban,Male,21,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,someone else,each month,spreadsheet or other tools,Saving cash at home,5% - 10%,keep in bank account,dont know,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,exactly 110,more than today
136,Urban,Other,18,English,Ph.D.,"> 60,000",With children under the age of 18,Ph.D.,Ph.D.,me,each month,no record,"Buying bonds or time deposits, Investing in crypto-assets,NFTs, Investing in stocks and shares",> 50%,invest in assets,>= 6 months,"Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, Car, Loan, Child support",lose money,100 plus 3pct,"30,000",spend it,expensive model,buy beverage,Multiple businesses/investment,No interest,more than 110,more than today
137,Urban,Male,21,English,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,me with someone else,each month,notes,Putting money in a savings/deposits account,5% - 10%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today
138,Urban,Male,18,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,Graduate,someone else,never,no record,Putting money in a savings/deposits account,no income,keep in bank account,,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, House",2 lakh,100 plus 3pct,"30,000",spend it,expensive model,keep it,Multiple businesses/investment,Not sure,not sure,not sure
139,Urban,Female,19,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,Graduate,someone else,never,no record,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",no income,keep in bank account,dont know,Bought goods and services online,Credit card,You buy the second set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
140,Rural,Male,22,Bengali,12th pass,"< 20,000",With friends. colleagues or students,Graduate,Graduate,me,sometimes,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 3 months bu < 6 month,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, House, Art works",lose money,100 plus 3pct,"30,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today
141,Urban,Male,23,English,Postgraduate,"> 60,000",With other adult relatives,Postgraduate,Postgraduate,someone else,each month,spreadsheet or other tools,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",> 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
142,Urban,Male,21,English,Graduate,"> 60,000",Alone,Graduate,Postgraduate,me,each month,spreadsheet or other tools,"Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,keep in bank account,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House",not sure,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
143,Urban,Female,19,Bengali,12th pass,"40,000 - 60,000",With friends. colleagues or students,Postgraduate,Graduate,someone else,never,no record,Putting money in a savings/deposits account,5% - 10%,unable to save,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Child support",< 2 lakh,not sure,"30,000",save it,expensive model,buy beverage,Not sure,No interest,exactly 110,not sure
144,Urban,Male,22,Bengali,Graduate,"40,000 - 60,000",With other adult relatives,Graduate,Graduate,someone else,sometimes,spreadsheet or other tools,"Saving cash at home, Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",no income,unable to save,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, House",lose money,100 plus 3pct,"30,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today
145,Urban,Male,21,Bengali,12th pass,"< 20,000",With other adult relatives,10th pass or less,10th pass or less,someone else,each month,spreadsheet or other tools,Putting money in a savings/deposits account,5% - 10%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,more than today
146,Rural,Female,19,English,12th pass,"40,000 - 60,000",With partner/spouse,Graduate,Postgraduate,me with someone else,never,no record,Putting money in a savings/deposits account,no income,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the first set.,"Jewellery, Car, House",< 2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
147,Rural,Male,20,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,Graduate,someone else,never,no record,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,"25,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today
148,Urban,Male,21,Bengali,Graduate,"< 20,000",With friends. colleagues or students,Graduate,12th pass,someone else,sometimes,no record,Buying bonds or time deposits,no income,keep in bank account,< 1 week,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House, Loan, Art works, Child support",not sure,not sure,not sure,save it,expensive model,keep it,Not sure,Not sure,exactly 110,not sure
149,Urban,Male,21,English,12th pass,"40,000 - 60,000",With partner/spouse,Postgraduate,Graduate,someone else,each month,notes,Saving cash at home,no income,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House, Art works",< 2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
150,Urban,Female,19,English,12th pass,"20,000 - 40,000",Alone,12th pass,12th pass,me,sometimes,notes,"Saving cash at home, Putting money in a savings/deposits account",> 50%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the first set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,same as today
151,Urban,Female,21,English,12th pass,"> 60,000","With children under the age of 18, With other adult relatives",Postgraduate,Postgraduate,someone else,sometimes,no record,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",5% - 10%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today
152,Urban,Male,22,Bengali,Graduate,"< 20,000",With partner/spouse,Graduate,10th pass or less,me with someone else,never,no record,Putting money in a savings/deposits account,no income,unable to save,>= 6 months,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Not sure about any one,< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today
153,Rural,Male,18,Bengali,12th pass,"< 20,000",With other adult relatives,Graduate,12th pass,me,each month,notes,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",5% - 10%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,not sure,save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,more than today
154,Urban,Male,21,English,Graduate,"20,000 - 40,000",With other adult relatives,12th pass,10th pass or less,me with someone else,never,notes,Putting money in a savings/deposits account,5% - 10%,keep in bank account,>= 3 months bu < 6 month,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, Car, House, Child support",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today
155,Urban,Male,20,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,someone else,each month,spreadsheet or other tools,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
156,Rural,Female,18,Bengali,12th pass,"< 20,000",With other adult relatives,Graduate,Graduate,someone else,never,no record,Saving cash at home,no income,unable to save,dont know,Bought goods and services online,Debit card,You buy the first set.,"House, Art works, Child support",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,not sure
157,Rural,Male,18,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,10th pass or less,someone else,sometimes,notes,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",no income,unable to save,,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
158,Urban,Male,22,English,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Postgraduate,me,sometimes,no record,"Investing in crypto-assets,NFTs",5% - 10%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,"30,000",spend it,expensive model,keep it,Multiple businesses/investment,Not sure,more than 110,same as today
159,Urban,Male,22,English,12th pass,"< 20,000",With other adult relatives,12th pass,12th pass,someone else,each month,no record,Putting money in a savings/deposits account,10% - 50%,keep in bank account,< 1 week,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,not sure
160,Urban,Male,19,English,12th pass,"40,000 - 60,000",With other adult relatives,Postgraduate,Postgraduate,someone else,each month,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House, Child support",lose money,105,not sure,save it,expensive model,keep it,Multiple businesses/investment,No interest,not sure,not sure
161,Urban,Female,22,"Other local language (Marathi, Gujarati etc)",Graduate,"< 20,000",With friends. colleagues or students,Postgraduate,Graduate,me with someone else,sometimes,no record,Giving money to family to save on your behalf,< 5%,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",lose money,105,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,not sure
162,Urban,Male,19,Bengali,12th pass,"> 60,000",Alone,Ph.D.,Graduate,me,sometimes,notes,Saving cash at home,no income,unable to save,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Not sure,No interest,more than 110,not sure
163,Urban,Male,21,English,Graduate,"< 20,000",Alone,Graduate,Postgraduate,me,each month,notes,"Saving cash at home, Investing in crypto-assets,NFTs, Investing in stocks and shares",5% - 10%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today
164,Rural,Male,21,Bengali,Graduate,"40,000 - 60,000",With other adult relatives,12th pass,Graduate,someone else,each month,notes,Giving money to family to save on your behalf,5% - 10%,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Loan",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,more than today
165,Rural,Male,18,Bengali,12th pass,"< 20,000",Alone,10th pass or less,10th pass or less,me,each month,spreadsheet or other tools,Putting money in a savings/deposits account,no income,keep in bank account,dont know,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Child support,2 lakh,not sure,not sure,save it,expensive model,keep it,One business/investment,Not sure,exactly 110,not sure
166,Urban,Female,21,Bengali,Graduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,someone else,each month,notes,Putting money in a savings/deposits account,< 5%,keep in bank account,>= 1 month but < 3 months,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,expensive model,buy beverage,One business/investment,No interest,more than 110,less than today
167,Urban,Female,21,English,Graduate,"40,000 - 60,000",With other adult relatives,Graduate,Postgraduate,someone else,sometimes,spreadsheet or other tools,Putting money in a savings/deposits account,> 50%,invest in assets,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
168,Urban,Female,22,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,someone else,never,spreadsheet or other tools,Putting money in a savings/deposits account,no income,unable to save,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",2 lakh,not sure,"30,000",save it,expensive model,keep it,One business/investment,Not sure,not sure,not sure
169,Urban,Female,21,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,me with someone else,each month,notes,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,Not sure about any one,2 lakh,100 plus 3pct,not sure,spend it,cheaper model,keep it,Not sure,No interest,not sure,not sure
170,Urban,Male,18,Bengali,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,someone else,sometimes,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
171,Urban,Male,20,English,12th pass,"> 60,000",With friends. colleagues or students,Ph.D.,Postgraduate,me,never,no record,Saving cash at home,< 5%,spend on shopping,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
172,Rural,Male,21,Bengali,Graduate,"< 20,000",With other adult relatives,10th pass or less,10th pass or less,me,sometimes,no record,Saving cash at home,no income,unable to save,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,Not sure about any one,2 lakh,100 plus 3pct,not sure,spend it,cheaper model,keep it,Not sure,No interest,exactly 110,not sure
173,Urban,Male,22,English,Graduate,"< 20,000",With other adult relatives,Graduate,Graduate,me with someone else,each month,spreadsheet or other tools,"Saving cash at home, Putting money in a savings/deposits account, Buying bonds or time deposits, Investing in stocks and shares",no income,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House, Art works",2 lakh,100 plus 3pct,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,less than today
174,Urban,Male,20,Bengali,12th pass,"> 60,000",With friends. colleagues or students,Postgraduate,12th pass,someone else,never,no record,Saving cash at home,no income,unable to save,,Bought goods and services online,Credit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,more than today
175,Urban,Female,20,English,12th pass,"< 20,000",With other adult relatives,Graduate,12th pass,me with someone else,never,no record,Putting money in a savings/deposits account,10% - 50%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,same as today
176,Urban,Male,21,English,Graduate,"40,000 - 60,000",With other adult relatives,Ph.D.,Graduate,someone else,sometimes,no record,"Saving cash at home, Putting money in a savings/deposits account",10% - 50%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Car, House",< 2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today
177,Urban,Male,21,Bengali,Graduate,"20,000 - 40,000",With other adult relatives,Postgraduate,Graduate,someone else,never,no record,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,more than today
178,Urban,Male,20,English,Graduate,"40,000 - 60,000",With other adult relatives,Graduate,Graduate,me with someone else,never,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",< 5%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Car, House",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today
179,Urban,Female,20,English,12th pass,"> 60,000",With partner/spouse,Postgraduate,Postgraduate,someone else,never,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,not sure,save it,expensive model,keep it,Multiple businesses/investment,No interest,not sure,not sure
180,Urban,Male,21,English,Graduate,"40,000 - 60,000","With friends. colleagues or students, With other unrelated adults",Ph.D.,Postgraduate,someone else,each month,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",> 50%,invest in assets,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,Not sure about any one,lose money,100 plus 3pct,"15,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,more than today
181,Urban,Male,21,English,Graduate,"> 60,000",Alone,Graduate,Graduate,me,each month,notes,"Saving cash at home, Putting money in a savings/deposits account",10% - 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,more than today
182,Urban,Female,19,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,someone else,sometimes,notes,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,not sure
183,Urban,Male,21,English,12th pass,"> 60,000",With other adult relatives,Graduate,Postgraduate,someone else,never,no record,Giving money to family to save on your behalf,10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",lose money,not sure,"30,000",spend it,expensive model,keep it,Multiple businesses/investment,No interest,not sure,less than today
184,Urban,Male,31,Bengali,Postgraduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,me,each month,no record,Putting money in a savings/deposits account,< 5%,unable to save,dont know,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Not sure about any one,not sure,100 plus 3pct,not sure,save it,expensive model,keep it,Not sure,Not sure,not sure,not sure
185,Urban,Male,21,Bengali,Graduate,"< 20,000",Alone,Graduate,10th pass or less,me with someone else,each month,spreadsheet or other tools,"Putting money in a savings/deposits account, Buying bonds or time deposits, Investing in stocks and shares",no income,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House, Art works",lose money,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
186,Urban,Male,21,Bengali,12th pass,"< 20,000",With other adult relatives,12th pass,Graduate,me with someone else,each month,notes,Saving cash at home,< 5%,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,not sure
187,Urban,Female,20,English,Postgraduate,"40,000 - 60,000",With children under the age of 18,Graduate,Graduate,me,sometimes,spreadsheet or other tools,"Giving money to family to save on your behalf, Investing in crypto-assets,NFTs",10% - 50%,spend on shopping,< 1 week,Bought goods and services online,Credit card,You buy the first set.,"Jewellery, Art works, Not sure about any one",2 lakh,105,"25,000",spend it,cheaper model,keep it,One business/investment,Not sure,exactly 110,more than today
188,Urban,Female,22,Bengali,Graduate,"40,000 - 60,000",With partner/spouse,12th pass,Graduate,me with someone else,sometimes,no record,"Giving money to family to save on your behalf, Buying bonds or time deposits",10% - 50%,invest in assets,>= 6 months,Bought goods and services online,Credit card,You buy the first set.,"Jewellery, Child support",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,Not sure,exactly 110,less than today
189,Urban,Female,22,Hindi,Graduate,"40,000 - 60,000","With children under the age of 18, With other adult relatives",10th pass or less,Postgraduate,me with someone else,sometimes,spreadsheet or other tools,"Giving money to family to save on your behalf, Investing in crypto-assets,NFTs",10% - 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Loan, Art works",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,buy beverage,Multiple businesses/investment,No interest,less than 110,more than today
190,Urban,Female,22,English,Postgraduate,"40,000 - 60,000","With children under the age of 18, With other unrelated adults",Graduate,12th pass,me with someone else,never,spreadsheet or other tools,"Putting money in a savings/deposits account, Buying bonds or time deposits, Investing in crypto-assets,NFTs",5% - 10%,unable to save,>= 6 months,"Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"25,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,less than 110,less than today
191,Urban,Female,22,Bengali,Graduate,"40,000 - 60,000",With children under the age of 18,Graduate,Graduate,me,sometimes,no record,"Saving cash at home, Buying bonds or time deposits",10% - 50%,invest in assets,>= 6 months,"Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, Car, House, Loan, Child support",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,same as today
192,Urban,Female,22,Bengali,Graduate,"40,000 - 60,000",With children under the age of 18,Graduate,Graduate,me,sometimes,no record,"Saving cash at home, Buying bonds or time deposits",10% - 50%,invest in assets,>= 6 months,"Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, Car, House, Loan, Child support",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,same as today
193,Urban,Male,20,English,Graduate,"> 60,000",With other adult relatives,Graduate,Postgraduate,me with someone else,sometimes,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf, Buying bonds or time deposits",10% - 50%,spend on shopping,>= 6 months,Check the balance and transactions of my bank account online,Credit card,You buy the first set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,"30,000",save it,expensive model,buy beverage,Multiple businesses/investment,No interest,less than 110,same as today
194,Rural,Female,22,English,Graduate,"20,000 - 40,000",With other adult relatives,12th pass,12th pass,someone else,each month,spreadsheet or other tools,"Saving cash at home, Putting money in a savings/deposits account, Buying bonds or time deposits",5% - 10%,invest in assets,>= 1 month but < 3 months,Bought goods and services online,Debit card,You buy the first set.,"Jewellery, Car, House, Art works, Child support",lose money,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,less than 110,less than today
195,Urban,Male,21,English,Graduate,"40,000 - 60,000",With friends. colleagues or students,12th pass,Graduate,me,each month,no record,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",no income,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,same as today
196,Urban,Male,20,Hindi,Graduate,"40,000 - 60,000","With children under the age of 18, With friends. colleagues or students",12th pass,12th pass,me with someone else,sometimes,no record,"Giving money to family to save on your behalf, Investing in crypto-assets,NFTs",10% - 50%,invest in assets,>= 6 months,Bought goods and services online,Credit card,You buy the first set.,"Jewellery, Car, Art works, Child support",2 lakh,105,"30,000",spend it,expensive model,buy beverage,One business/investment,No interest,more than 110,more than today
197,Urban,Male,20,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Postgraduate,someone else,each month,spreadsheet or other tools,"Saving cash at home, Giving money to family to save on your behalf",> 50%,keep in bank account,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"30,000",spend it,expensive model,buy beverage,Multiple businesses/investment,No interest,more than 110,same as today
