id,P2,P3,P4,P5,P6,P7,P8,P9,P10,F1,F2,F3,F4,F5,F6,F7,S1,A1,A2,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,TOTAL
88,Urban,Female,21,English,12th pass,"< 20,000",With other adult relatives,Graduate,Graduate,active,active,no record,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",no income,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Car, House",Rs. 2 lakhs,Rs. 100 plus 3%,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,The same amount,9
89,Urban,Female,23,Bengali,Postgraduate,"20,000 - 40,000",With other adult relatives,10th pass or less,10th pass or less,passive,passive,no record,Saving cash at home,no income,I'm generally not able to save money each month,Atleast a week but less than a month,Bought goods and services online,Debit card,You buy the second set.,"Jewellery, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,More with their share of money than they can buy today,6
90,Rural,Male,20,Bengali,12th pass,"> 60,000",With friends. colleagues or students,Postgraduate,Postgraduate,passive,passive,spreadsheet or same,Putting money in a savings/deposits account,> 50%,I keep the money in my bank account,6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,Not sure about any one,Not sure,Rs. 100 plus 3%,Not sure,"Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Not sure,7
91,Urban,Male,19,English,12th pass,"40,000 - 60,000",With friends. colleagues or students,Postgraduate,Graduate,passive,active,notes,Putting money in a savings/deposits account,no income,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House, Child support",Rs. 2 lakhs,Rs. 100 plus 3%,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Not sure,No interest,Not sure,Not sure,6
92,Urban,Male,19,English,12th pass,"20,000 - 40,000","With children under the age of 18, With other adult relatives",Graduate,10th pass or less,active,active,notes,"Saving cash at home, Putting money in a savings/deposits account",> 50%,I spend the saved money on shopping,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,Less than they can buy today,11
93,Urban,Male,20,English,12th pass,"> 60,000",Alone,12th pass,Graduate,active,passive,no record,Saving cash at home,< 5%,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","You stick with the ₹25,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,7
94,Urban,Male,22,English,Graduate,"< 20,000",With other adult relatives,Postgraduate,Graduate,passive,passive,spreadsheet or same,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs, Investing in stocks and shares",10% - 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,Exactly Rs. 110,Less than they can buy today,10
95,Urban,Male,22,Bengali,Graduate,"20,000 - 40,000",With other unrelated adults,Graduate,Graduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account",10% - 50%,I keep the money in my bank account,Less than a week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",Rs. 2 lakhs,Not sure,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Not sure,No interest,Not sure,Not sure,4
96,Urban,Female,21,Bengali,Graduate,"20,000 - 40,000",With other adult relatives,12th pass,Graduate,active,active,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf",no income,I keep the money in my bank account,Atleast 3 months but less than 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Not sure,Not sure,More than Rs. 110,Not sure,9
97,Urban,Female,22,Bengali,Postgraduate,"20,000 - 40,000",With other adult relatives,12th pass,10th pass or less,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",no income,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,Not sure,Exactly Rs. 110,Less than they can buy today,8
98,Urban,Male,22,English,Graduate,"> 60,000",With other adult relatives,Ph.D.,Ph.D.,active,active,spreadsheet or same,"Saving cash at home, Giving money to family to save on your behalf",10% - 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, Car, House, Art works",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,The same amount,12
99,Urban,Male,21,English,12th pass,"< 20,000",With other adult relatives,Postgraduate,Graduate,active,passive,no record,"Saving cash at home, Giving money to family to save on your behalf, Investing in stocks and shares",10% - 50%,I keep the money in my bank account,Don't know,"Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,The same amount,8
100,Rural,Male,21,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,active,passive,no record,"Putting money in a savings/deposits account, Giving money to family to save on your behalf, Investing in stocks and shares",5% - 10%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Not sure,10
101,Urban,Male,20,Bengali,Graduate,"> 60,000",With other adult relatives,12th pass,12th pass,passive,passive,no record,Giving money to family to save on your behalf,no income,I spend the saved money on shopping,Atleast a week but less than a month,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,House,You will lose money,Rs. 100 plus 3%,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,Not sure,Not sure,5
102,Urban,Male,24,Bengali,Postgraduate,"20,000 - 40,000",Alone,12th pass,12th pass,active,active,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf, Investing in crypto-assets,NFTs, Investing in stocks and shares",5% - 10%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Don't know,"Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, Car, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,13
103,Urban,Male,23,Bengali,Postgraduate,"> 60,000",With other adult relatives,Graduate,Graduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs, Investing in stocks and shares",10% - 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,12
104,Urban,Female,19,English,12th pass,"> 60,000",With partner/spouse,Graduate,Postgraduate,active,active,notes,Saving cash at home,10% - 50%,I keep the money in my bank account,Atleast one month but less than 3 months,Bought goods and services online,Credit card,You buy the second set.,"Jewellery, Car, House, Loan, Child support",Not sure,Not sure,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Not sure,Not sure,Not sure,Not sure,5
105,Urban,Male,21,English,Graduate,"> 60,000","With children under the age of 18, With other adult relatives",Ph.D.,Graduate,active,active,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account",10% - 50%,I keep the money in my bank account,Atleast a week but less than a month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Not sure,No interest,More than Rs. 110,The same amount,10
106,Urban,Female,21,Bengali,Graduate,"20,000 - 40,000",With partner/spouse,Graduate,Graduate,passive,active,spreadsheet or same,Giving money to family to save on your behalf,< 5%,I keep the money in my bank account,Atleast one month but less than 3 months,Check the balance and transactions of my bank account online,Credit card,You buy the first set.,"Jewellery, Car, House, Art works",Rs. 2 lakhs,Rs. 105,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,More with their share of money than they can buy today,9
107,Rural,Male,20,Bengali,12th pass,"> 60,000",With other adult relatives,Graduate,Postgraduate,active,active,notes,Saving cash at home,no income,I'm generally not able to save money each month,Don't know,Bought goods and services online,Debit card,You buy the second set.,"Jewellery, Car, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,11
108,Urban,Female,20,English,12th pass,"> 60,000",Alone,Postgraduate,Graduate,passive,active,notes,Putting money in a savings/deposits account,no income,I keep the money in my bank account,Atleast a week but less than a month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Not sure,Not sure,7
109,Urban,Male,34,Bengali,Postgraduate,"40,000 - 60,000","With partner/spouse, With other adult relatives",12th pass,12th pass,passive,passive,no record,Putting money in a savings/deposits account,< 5%,I'm generally not able to save money each month,Atleast a week but less than a month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",One business/investment,No interest,Not sure,Not sure,3
110,Urban,Male,19,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,Saving cash at home,> 50%,I spend the saved money on shopping,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Car, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Not sure,No interest,More than Rs. 110,Less than they can buy today,8
111,Urban,Male,19,Bengali,12th pass,"> 60,000",With other adult relatives,Postgraduate,12th pass,passive,passive,no record,Putting money in a savings/deposits account,no income,I keep the money in my bank account,Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Not sure,No interest,Exactly Rs. 110,More with their share of money than they can buy today,5
112,Rural,Female,20,Bengali,Graduate,"< 20,000",Alone,Graduate,10th pass or less,active,passive,no record,Saving cash at home,no income,I'm generally not able to save money each month,Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,Not sure,5
113,Urban,Female,21,English,Graduate,"> 60,000",With other adult relatives,Graduate,Postgraduate,active,active,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account",5% - 10%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, Car, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,Less than they can buy today,12
114,Rural,Male,29,Bengali,Postgraduate,"< 20,000",With partner/spouse,12th pass,12th pass,active,active,no record,Giving money to family to save on your behalf,< 5%,I'm generally not able to save money each month,Atleast 3 months but less than 6 months,"Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, Car, House",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,9
115,Urban,Male,22,English,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Graduate,active,passive,spreadsheet or same,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs, Investing in stocks and shares",5% - 10%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House, Art works",Less than Rs. 2 lakhs,Not sure,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,11
116,Urban,Male,22,English,12th pass,"40,000 - 60,000",With friends. colleagues or students,Graduate,12th pass,passive,active,no record,Saving cash at home,no income,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Less than a week,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Car, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 25,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,Not sure,Not sure,Not sure,4
117,Rural,Male,19,English,12th pass,"20,000 - 40,000",With other adult relatives,Postgraduate,10th pass or less,passive,passive,no record,Saving cash at home,no income,I'm generally not able to save money each month,Less than a week,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, House",Rs. 2 lakhs,Rs. 100 plus 3%,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,7
118,Urban,Male,20,Bengali,Graduate,"40,000 - 60,000",With friends. colleagues or students,Graduate,10th pass or less,passive,passive,no record,Saving cash at home,no income,I'm generally not able to save money each month,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Not sure,No interest,More than Rs. 110,Not sure,6
119,Rural,Female,22,Bengali,Postgraduate,"20,000 - 40,000",Alone,Postgraduate,Graduate,active,active,spreadsheet or same,Saving cash at home,no income,I'm generally not able to save money each month,Atleast a week but less than a month,Bought goods and services online,Debit card,You buy the first set.,"House, Art works",Not sure,Rs. 100 plus 3%,Not sure,"Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Not sure,No interest,Not sure,Not sure,5
120,Urban,Male,22,English,Graduate,"40,000 - 60,000",With friends. colleagues or students,Graduate,Graduate,active,passive,no record,Saving cash at home,10% - 50%,I keep the money in my bank account,Atleast a week but less than a month,Bought goods and services online,Debit card,You buy the first set.,"Jewellery, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 25,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","You stick with the ₹25,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,6
121,Urban,Male,21,English,12th pass,"40,000 - 60,000",With other adult relatives,Postgraduate,Graduate,passive,passive,notes,Giving money to family to save on your behalf,no income,I keep the money in my bank account,Atleast a week but less than a month,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,10
122,Urban,Male,21,Bengali,Graduate,"20,000 - 40,000",With friends. colleagues or students,Postgraduate,Postgraduate,passive,passive,no record,Putting money in a savings/deposits account,no income,I keep the money in my bank account,6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, Art works",You will lose money,Not sure,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Not sure,7
123,Urban,Male,24,English,Postgraduate,"20,000 - 40,000",With friends. colleagues or students,10th pass or less,Graduate,passive,active,no record,Putting money in a savings/deposits account,5% - 10%,I keep the money in my bank account,Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, House",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Not sure,No interest,Less than Rs. 110 (or is it?),The same amount,6
124,Urban,Female,20,English,12th pass,"> 60,000",With other unrelated adults,Ph.D.,Postgraduate,active,active,notes,Saving cash at home,5% - 10%,I keep the money in my bank account,Less than a week,Check the balance and transactions of my bank account online,Credit card,You buy the first set.,House,Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 25,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,Exactly Rs. 110,More with their share of money than they can buy today,8
125,Urban,Male,20,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,notes,Putting money in a savings/deposits account,no income,I keep the money in my bank account,Atleast 3 months but less than 6 months,Check the balance and transactions of my bank account online,Credit card,You buy the second set.,Not sure about any one,Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Not sure,9
126,Urban,Male,22,Bengali,Graduate,"< 20,000",With other adult relatives,Graduate,Graduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Atleast a week but less than a month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 15,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,The same amount,8
127,Urban,Male,20,Hindi,Graduate,"40,000 - 60,000",With friends. colleagues or students,Graduate,12th pass,passive,passive,no record,Putting money in a savings/deposits account,no income,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Loan, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 15,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,9
128,Urban,Female,21,Bengali,Graduate,"< 20,000",With other adult relatives,Graduate,12th pass,passive,passive,spreadsheet or same,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs, Investing in stocks and shares",5% - 10%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House, Art works",Less than Rs. 2 lakhs,Rs. 105,"Rs. 25,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,More with their share of money than they can buy today,8
130,Urban,Male,21,English,Graduate,"> 60,000",With partner/spouse,Postgraduate,Postgraduate,passive,passive,no record,Putting money in a savings/deposits account,no income,I keep the money in my bank account,Don't know,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Not sure,Less than they can buy today,8
131,Urban,Male,21,English,Postgraduate,"> 60,000",Alone,Postgraduate,Postgraduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 15,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,11
132,Urban,Male,21,Bengali,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,12th pass,passive,passive,notes,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",< 5%,I keep the money in my bank account,Atleast a week but less than a month,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,Jewellery,Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Not sure,Less than they can buy today,11
